# tier150_measurements.csv — Multi-Achsen-Mess-Lauf (2026-06-04)
# 7 Binaries (Art-Basis, NUR node_type/path_compression/filter variiert) × 3 Reps = 21 Zeilen.
# ZWEI Mess-DIMENSIONEN des per-Achsen-Bildes (F15-Hybrid), beide hier real:
#  (1) Op-ZAEHLER-statistics (stat_<achse>_<feld>): differenzieren je STRATEGIE = algorithmus-internes
#      Verhalten. Belegt in dieser CSV: stat_node_type_keys (node4=4 / node48=48 / node256=256),
#      stat_path_compression_prefix_len (none/bytewise=14000 / patricia=16000, Patricia 1-Bit-Descent),
#      stat_filter_pos (bloom / cuckoo / xor je verschieden). search_algo ist hier FIX → nicht im Zaehler sichtbar.
#  (2) ZEIT (seg_*_ns + total_ns): hier 'n/a', weil dieser in-process-Lauf den V3-Observer (Zaehler) treibt,
#      NICHT den 19-Segment-Timer (run_workload_segmented_v2). Die ZEIT-Dimension liefert test_all19_segment_timer
#      (all19_pilot.csv): dort differenzieren ALGORITHMEN unter identischer Last (Art vs Hot, beide 1000 lookups)
#      im seg_search_algo_ns, NICHT im Zaehler. Beide Dimensionen ZUSAMMEN = das vollstaendige per-Achsen-Bild.
# RESET-FIX (abi_adapter::tier_clear): die auto-gekoppelten Instanz-Achsen T1/T2/T10/T17/T18 werden je Messung
#  STATISTIK-zurueckgesetzt → ueber die 3 Reps je Binary GLEICHE Zaehler (kein 1000->2000->3000-Artefakt).
binary_id;setting;repetition;n_ops;total_ns;ns_per_op;seg_search_algo_ns;seg_cache_traversal_ns;seg_mapping_ns;seg_path_compression_ns;seg_node_type_ns;seg_memory_layout_ns;seg_allocator_ns;seg_prefetch_ns;seg_concurrency_ns;seg_serialization_ns;seg_telemetry_ns;seg_value_handle_ns;seg_isa_ns;seg_index_organization_ns;seg_io_dispatch_ns;seg_migration_policy_ns;seg_filter_ns;seg_queuing_q1_ns;seg_queuing_q2_ns;search_lookup;hit;miss;insert;erase;peak;bytes_alloc;bytes_in_use;alloc_cnt;dealloc_cnt;fail;obs_axes;fill;applied_axes;stat_search_algo_lookup;stat_search_algo_hit;stat_search_algo_miss;stat_search_algo_insert;stat_search_algo_erase;stat_search_algo_peak;stat_cache_traversal_resolve;stat_cache_traversal_resolve_hit;stat_cache_traversal_resolve_miss;stat_cache_traversal_register;stat_cache_traversal_unregister;stat_cache_traversal_peak_tracked;stat_mapping_register;stat_mapping_resolve;stat_mapping_resolve_hit;stat_mapping_resolve_miss;stat_mapping_reverse_lookup;stat_mapping_peak_mapped;stat_path_compression_compress;stat_path_compression_prefix_len;stat_path_compression_bytes_saved;stat_path_compression_cuts;stat_path_compression_checksum;stat_node_type_find;stat_node_type_keys_stored;stat_node_type_queries;stat_node_type_checksum;stat_memory_layout_scan;stat_memory_layout_records;stat_memory_layout_field_bytes;stat_memory_layout_cache_lines;stat_memory_layout_checksum;stat_allocator_bytes_alloc;stat_allocator_bytes_in_use;stat_allocator_alloc_cnt;stat_allocator_dealloc_cnt;stat_allocator_fail;stat_prefetch_trigger;stat_prefetch_suggestions;stat_prefetch_hot_path_hints;stat_prefetch_max_queue_depth;stat_prefetch_addrs_enqueued;stat_concurrency_acquire;stat_concurrency_release;stat_concurrency_contention;stat_concurrency_validation_fail;stat_concurrency_pattern_id;stat_serialization_serialize;stat_serialization_records;stat_serialization_bytes;stat_serialization_checksum;stat_telemetry_events;stat_telemetry_leaf_updates;stat_telemetry_node_updates;stat_telemetry_peak_tracked;stat_value_handle_access;stat_value_handle_indirect_deref;stat_value_handle_version_strips;stat_value_handle_peak_chain_depth;stat_isa_simd_calls;stat_isa_elements;stat_isa_simd_iters;stat_isa_scalar_fallback;stat_isa_checksum;stat_index_organization_scan;stat_index_organization_records;stat_index_organization_predicate_evals;stat_index_organization_indirect_lookups;stat_index_organization_checksum;stat_io_dispatch_rounds;stat_io_dispatch_bytes;stat_io_dispatch_align_adjusts;stat_io_dispatch_dispatch_cnt;stat_io_dispatch_checksum;stat_migration_policy_decisions;stat_migration_policy_migrations;stat_migration_policy_hot_votes;stat_migration_policy_cold_votes;stat_migration_policy_tier_moves;stat_filter_probe;stat_filter_pos;stat_filter_neg;stat_filter_hash_probes;stat_filter_checksum;stat_queuing_q1_put;stat_queuing_q1_get;stat_queuing_q1_overflow;stat_queuing_q1_underflow;stat_queuing_q1_peak_size;stat_queuing_q2_decisions;stat_queuing_q2_full_flush;stat_queuing_q2_partial_flush;stat_queuing_q2_no_flush;stat_queuing_q2_flush_complete;v3_filled_axes
grid_node256_none_bloom;repetition.repetition_index=0;0;1000;31606700;15803.350;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;1000;0;1000;0;1000;1000;1000;0;1000;0;1000;1000;1000;1000;0;0;1000;2000;14000;14000;2000;7;1;256;1000;124716;4;1000;4000;1000;142641;16384;16000;4;0;0;0;0;0;0;0;2000;2000;0;0;3;4;1000;16000;204972;2000;2000;0;2000;1000;0;0;1;4;4000;1000;0;1640008;4;1000;0;1000;204972;4;16000;0;1000;204972;1000;0;0;0;0;1;71;929;1000;328;1000;0;0;1000;0;1000;0;0;1000;1000;19
grid_node256_none_bloom;repetition.repetition_index=1;1;1000;34244000;17122.000;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;2000;0;2000;0;1000;1000;1000;0;1000;0;1000;1000;1000;1000;0;0;1000;2000;14000;14000;2000;7;1;256;1000;124716;4;1000;4000;1000;173285;16384;16000;4;0;0;0;0;0;0;0;2000;2000;0;0;3;4;1000;16000;204972;2000;2000;0;2000;1000;0;0;1;4;4000;1000;0;1640008;4;1000;0;1000;204972;4;16000;0;1000;204972;1000;0;0;0;0;1;71;929;1000;328;1000;0;0;1000;0;1000;0;0;1000;1000;19
grid_node256_none_bloom;repetition.repetition_index=2;2;1000;28616500;14308.250;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;3000;0;3000;0;1000;1000;1000;0;1000;0;1000;1000;1000;1000;0;0;1000;2000;14000;14000;2000;7;1;256;1000;124716;4;1000;4000;1000;117147;16384;16000;4;0;0;0;0;0;0;0;2000;2000;0;0;3;4;1000;16000;204972;2000;2000;0;2000;1000;0;0;1;4;4000;1000;0;1640008;4;1000;0;1000;204972;4;16000;0;1000;204972;1000;0;0;0;0;1;71;929;1000;328;1000;0;0;1000;0;1000;0;0;1000;1000;19
grid_node4_none_bloom;repetition.repetition_index=0;0;1000;48555400;24277.700;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;1000;0;1000;0;1000;1000;1000;0;1000;0;1000;1000;1000;1000;0;0;1000;2000;14000;14000;2000;7;1;4;1000;5944;250;1000;4000;1000;808534675;16000;16000;250;0;0;0;0;0;0;0;2000;2000;0;0;3;250;1000;16000;3990;2000;2000;0;2000;1000;0;0;1;250;4000;1000;0;31924;250;1000;0;1000;3990;250;16000;0;1000;3990;1000;0;0;0;0;1;71;929;1000;328;1000;0;0;1000;0;1000;0;0;1000;1000;19
grid_node4_none_bloom;repetition.repetition_index=1;1;1000;46424400;23212.200;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;2000;0;2000;0;1000;1000;1000;0;1000;0;1000;1000;1000;1000;0;0;1000;2000;14000;14000;2000;7;1;4;1000;5944;250;1000;4000;1000;3001;16000;16000;250;0;0;0;0;0;0;0;2000;2000;0;0;3;250;1000;16000;3990;2000;2000;0;2000;1000;0;0;1;250;4000;1000;0;31924;250;1000;0;1000;3990;250;16000;0;1000;3990;1000;0;0;0;0;1;71;929;1000;328;1000;0;0;1000;0;1000;0;0;1000;1000;19
grid_node4_none_bloom;repetition.repetition_index=2;2;1000;49991500;24995.750;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;3000;0;3000;0;1000;1000;1000;0;1000;0;1000;1000;1000;1000;0;0;1000;2000;14000;14000;2000;7;1;4;1000;5944;250;1000;4000;1000;2922;16000;16000;250;0;0;0;0;0;0;0;2000;2000;0;0;3;250;1000;16000;3990;2000;2000;0;2000;1000;0;0;1;250;4000;1000;0;31924;250;1000;0;1000;3990;250;16000;0;1000;3990;1000;0;0;0;0;1;71;929;1000;328;1000;0;0;1000;0;1000;0;0;1000;1000;19
grid_node48_none_bloom;repetition.repetition_index=0;0;1000;29649100;14824.550;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;1000;0;1000;0;1000;1000;1000;0;1000;0;1000;1000;1000;1000;0;0;1000;2000;14000;14000;2000;7;1;48;1000;129228;21;1000;4000;1000;13587;16128;16000;21;0;0;0;0;0;0;0;2000;2000;0;0;3;21;1000;16000;39180;2000;2000;0;2000;1000;0;0;1;21;4000;1000;0;313480;21;1000;0;1000;39180;21;16000;0;1000;39180;1000;0;0;0;0;1;71;929;1000;328;1000;0;0;1000;0;1000;0;0;1000;1000;19
grid_node48_none_bloom;repetition.repetition_index=1;1;1000;30600100;15300.050;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2000;2000;0;2000;0;1000;1000;1000;0;1000;0;1000;1000;1000;1000;0;0;1000;2000;14000;14000;2000;7;1;48;1000;129228;21;1000;4000;1000;30339;16128;16000;21;0;0;0;0;0;0;0;2000;2000;0;0;3;21;1000;16000;39180;2000;2000;0;2000;1000;0;0;1;21;4000;1000;0;313480;21;1000;0;1000;39180;21;16000;0;1000;39180;1000;0;0;0;0;1;71;929;1000;328;1000;0;0;1000;0;1000;0;0;1000;1000;19
grid_node48_none_bloom;repetition.repetition_index=2;2;1000;31218900;15609.450;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;3000;0;3000;0;1000;1000;1000;0;1000;0;1000;1000;1000;1000;0;0;1000;2000;14000;14000;2000;7;1;48;1000;129228;21;1000;4000;1000;24123;16128;16000;21;0;0;0;0;0;0;0;2000;2000;0;0;3;21;1000;16000;39180;2000;2000;0;2000;1000;0;0;1;21;4000;1000;0;313480;21;1000;0;1000;39180;21;16000;0;1000;39180;1000;0;0;0;0;1;71;929;1000;328;1000;0;0;1000;0;1000;0;0;1000;1000;19
grid_node256_bytewise_bloom;repetition.repetition_index=0;0;1000;30786800;15393.400;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;1000;0;1000;0;1000;1000;1000;0;1000;0;1000;1000;1000;1000;0;0;1000;2000;14000;14000;2000;7;1;256;1000;124716;4;1000;4000;1000;107675;16384;16000;4;0;0;0;0;0;0;0;2000;2000;0;0;3;4;1000;16000;204972;2000;2000;0;2000;1000;0;0;1;4;4000;1000;0;1640008;4;1000;0;1000;204972;4;16000;0;1000;204972;1000;0;0;0;0;1;71;929;1000;328;1000;0;0;1000;0;1000;0;0;1000;1000;19
