binary_id;setting;repetition;n_ops;total_ns;ns_per_op;seg_search_algo_ns;seg_cache_traversal_ns;seg_mapping_ns;seg_path_compression_ns;seg_node_type_ns;seg_memory_layout_ns;seg_allocator_ns;seg_prefetch_ns;seg_concurrency_ns;seg_serialization_ns;seg_telemetry_ns;seg_value_handle_ns;seg_isa_ns;seg_index_organization_ns;seg_io_dispatch_ns;seg_migration_policy_ns;seg_filter_ns;seg_queuing_q1_ns;seg_queuing_q2_ns;search_lookup;hit;miss;insert;erase;peak;bytes_alloc;bytes_in_use;alloc_cnt;dealloc_cnt;fail;obs_axes;fill;applied_axes;stat_search_algo_lookup;stat_search_algo_hit;stat_search_algo_miss;stat_search_algo_insert;stat_search_algo_erase;stat_search_algo_peak;stat_cache_traversal_resolve;stat_cache_traversal_resolve_hit;stat_cache_traversal_resolve_miss;stat_cache_traversal_register;stat_cache_traversal_unregister;stat_cache_traversal_peak_tracked;stat_mapping_register;stat_mapping_resolve;stat_mapping_resolve_hit;stat_mapping_resolve_miss;stat_mapping_reverse_lookup;stat_mapping_peak_mapped;stat_path_compression_compress;stat_path_compression_prefix_len;stat_path_compression_bytes_saved;stat_path_compression_cuts;stat_path_compression_checksum;stat_node_type_find;stat_node_type_keys_stored;stat_node_type_queries;stat_node_type_checksum;stat_memory_layout_scan;stat_memory_layout_records;stat_memory_layout_field_bytes;stat_memory_layout_cache_lines;stat_memory_layout_checksum;stat_allocator_bytes_alloc;stat_allocator_bytes_in_use;stat_allocator_alloc_cnt;stat_allocator_dealloc_cnt;stat_allocator_fail;stat_prefetch_trigger;stat_prefetch_suggestions;stat_prefetch_hot_path_hints;stat_prefetch_max_queue_depth;stat_prefetch_addrs_enqueued;stat_concurrency_acquire;stat_concurrency_release;stat_concurrency_contention;stat_concurrency_validation_fail;stat_concurrency_pattern_id;stat_serialization_serialize;stat_serialization_records;stat_serialization_bytes;stat_serialization_checksum;stat_telemetry_events;stat_telemetry_leaf_updates;stat_telemetry_node_updates;stat_telemetry_peak_tracked;stat_value_handle_access;stat_value_handle_indirect_deref;stat_value_handle_version_strips;stat_value_handle_peak_chain_depth;stat_isa_simd_calls;stat_isa_elements;stat_isa_simd_iters;stat_isa_scalar_fallback;stat_isa_checksum;stat_index_organization_scan;stat_index_organization_records;stat_index_organization_predicate_evals;stat_index_organization_indirect_lookups;stat_index_organization_checksum;stat_io_dispatch_rounds;stat_io_dispatch_bytes;stat_io_dispatch_align_adjusts;stat_io_dispatch_dispatch_cnt;stat_io_dispatch_checksum;stat_migration_policy_decisions;stat_migration_policy_migrations;stat_migration_policy_hot_votes;stat_migration_policy_cold_votes;stat_migration_policy_tier_moves;stat_filter_probe;stat_filter_pos;stat_filter_neg;stat_filter_hash_probes;stat_filter_checksum;stat_queuing_q1_put;stat_queuing_q1_get;stat_queuing_q1_overflow;stat_queuing_q1_underflow;stat_queuing_q1_peak_size;stat_queuing_q2_decisions;stat_queuing_q2_full_flush;stat_queuing_q2_partial_flush;stat_queuing_q2_no_flush;stat_queuing_q2_flush_complete;v3_filled_axes
search_algo=k_ary/cache_traversal=linear_fanout/mapping=direct_placement/path_compression=path_compression_none/node_type=node4/memory_layout=memory_layout_cache_line_aligned/allocator=std_malloc/prefetch=prefetch_none/concurrency=concurrency_none/serialization=serialization_raw_binary/telemetry=telemetry_leaf_only_counter/value_handle=value_handle_inline/isa=isa_amd64/index_organization=index_org_heap/io_dispatch=io_in_memory_only/migration_policy=migration_none/filter=filter_bloom/queuing_q1=no_buffer/queuing_q2=eager_flush;concurrency.thread_count=1/prefetch.prefetch_distance=0/repetition.repetition_index=0;0;2000;124712400;31178.100;1000;400;700;700;196400;48600;400;300;200;52300;700;51900;96600;56800;49300;7100;493900;400;500;2000;2000;0;2000;0;2000;128000;128000;500;0;0;10;2000;1;2000;2000;0;2000;0;2000;2000;2000;0;2000;0;2000;2000;2000;2000;0;0;2000;4000;28000;28000;4000;7;1;4;2000;11888;500;2000;8000;2000;7990;128000;128000;500;0;0;0;0;0;0;0;4000;4000;0;0;0;500;2000;128000;7990;4000;4000;0;4000;2000;0;0;1;500;32000;8000;0;63924;500;2000;2000;0;7990;500;128000;0;2000;7990;2000;0;0;0;0;1;171;1829;2000;813;2000;0;0;2000;0;2000;2000;0;0;2000;19
search_algo=k_ary/cache_traversal=linear_fanout/mapping=direct_placement/path_compression=path_compression_none/node_type=node4/memory_layout=memory_layout_cache_line_aligned/allocator=std_malloc/prefetch=prefetch_none/concurrency=concurrency_none/serialization=serialization_raw_binary/telemetry=telemetry_leaf_only_counter/value_handle=value_handle_inline/isa=isa_amd64/index_organization=index_org_heap/io_dispatch=io_in_memory_only/migration_policy=migration_none/filter=filter_bloom/queuing_q1=no_buffer/queuing_q2=eager_flush;concurrency.thread_count=1/prefetch.prefetch_distance=0/repetition.repetition_index=1;1;2000;125796500;31449.125;1300;600;800;700;214900;50700;200;300;400;50500;800;51100;97400;58700;53700;7100;483500;600;700;2000;2000;0;2000;0;2000;128000;128000;500;0;0;10;2000;1;2000;2000;0;2000;0;2000;2000;2000;0;2000;0;2000;2000;2000;2000;0;0;2000;4000;28000;28000;4000;7;1;4;2000;11888;500;2000;8000;2000;7990;128000;128000;500;0;0;0;0;0;0;0;4000;4000;0;0;0;500;2000;128000;7990;4000;4000;0;4000;2000;0;0;1;500;32000;8000;0;63924;500;2000;2000;0;7990;500;128000;0;2000;7990;2000;0;0;0;0;1;171;1829;2000;813;2000;0;0;2000;0;2000;2000;0;0;2000;19
search_algo=k_ary/cache_traversal=linear_fanout/mapping=direct_placement/path_compression=path_compression_none/node_type=node4/memory_layout=memory_layout_cache_line_aligned/allocator=std_malloc/prefetch=prefetch_none/concurrency=concurrency_none/serialization=serialization_raw_binary/telemetry=telemetry_leaf_only_counter/value_handle=value_handle_inline/isa=isa_amd64/index_organization=index_org_heap/io_dispatch=io_in_memory_only/migration_policy=migration_none/filter=filter_bloom/queuing_q1=no_buffer/queuing_q2=eager_flush;concurrency.thread_count=1/prefetch.prefetch_distance=0/repetition.repetition_index=2;2;2000;123707600;30926.900;900;600;600;800;207000;52600;300;300;400;51600;500;51400;97200;57500;52200;7100;482900;700;500;2000;2000;0;2000;0;2000;128000;128000;500;0;0;10;2000;1;2000;2000;0;2000;0;2000;2000;2000;0;2000;0;2000;2000;2000;2000;0;0;2000;4000;28000;28000;4000;7;1;4;2000;11888;500;2000;8000;2000;7990;128000;128000;500;0;0;0;0;0;0;0;4000;4000;0;0;0;500;2000;128000;7990;4000;4000;0;4000;2000;0;0;1;500;32000;8000;0;63924;500;2000;2000;0;7990;500;128000;0;2000;7990;2000;0;0;0;0;1;171;1829;2000;813;2000;0;0;2000;0;2000;2000;0;0;2000;19
search_algo=k_ary/cache_traversal=linear_fanout/mapping=direct_placement/path_compression=path_compression_none/node_type=node4/memory_layout=memory_layout_cache_line_aligned/allocator=std_malloc/prefetch=prefetch_none/concurrency=concurrency_none/serialization=serialization_raw_binary/telemetry=telemetry_leaf_only_counter/value_handle=value_handle_inline/isa=isa_amd64/index_organization=index_org_heap/io_dispatch=io_in_memory_only/migration_policy=migration_none/filter=filter_bloom/queuing_q1=no_buffer/queuing_q2=eager_flush;concurrency.thread_count=1/prefetch.prefetch_distance=8/repetition.repetition_index=0;0;2000;122391600;30597.900;1500;700;900;700;194000;49700;600;400;400;48700;400;49700;220600;59600;49600;6400;498100;600;500;2000;2000;0;2000;0;2000;128000;128000;500;0;0;10;2000;2;2000;2000;0;2000;0;2000;2000;2000;0;2000;0;2000;2000;2000;2000;0;0;2000;4000;28000;28000;4000;7;1;4;2000;11888;500;2000;8000;2000;7990;128000;128000;500;0;0;0;0;0;0;0;4000;4000;0;0;0;500;2000;128000;7990;4000;4000;0;4000;2000;0;0;1;500;32000;8000;0;63924;500;2000;2000;0;7990;500;128000;0;2000;7990;2000;0;0;0;0;1;171;1829;2000;813;2000;0;0;2000;0;2000;2000;0;0;2000;19
search_algo=k_ary/cache_traversal=linear_fanout/mapping=direct_placement/path_compression=path_compression_none/node_type=node4/memory_layout=memory_layout_cache_line_aligned/allocator=std_malloc/prefetch=prefetch_none/concurrency=concurrency_none/serialization=serialization_raw_binary/telemetry=telemetry_leaf_only_counter/value_handle=value_handle_inline/isa=isa_amd64/index_organization=index_org_heap/io_dispatch=io_in_memory_only/migration_policy=migration_none/filter=filter_bloom/queuing_q1=no_buffer/queuing_q2=eager_flush;concurrency.thread_count=1/prefetch.prefetch_distance=8/repetition.repetition_index=1;1;2000;134188700;33547.175;3300;4800;1300;4000;4685100;117400;300;300;900;232900;600;433000;250800;60300;439600;78400;2334500;1000;600;2000;2000;0;2000;0;2000;128000;128000;500;0;0;10;2000;2;2000;2000;0;2000;0;2000;2000;2000;0;2000;0;2000;2000;2000;2000;0;0;2000;4000;28000;28000;4000;7;1;4;2000;11888;500;2000;8000;2000;7990;128000;128000;500;0;0;0;0;0;0;0;4000;4000;0;0;0;500;2000;128000;7990;4000;4000;0;4000;2000;0;0;1;500;32000;8000;0;63924;500;2000;2000;0;7990;500;128000;0;2000;7990;2000;0;0;0;0;1;171;1829;2000;813;2000;0;0;2000;0;2000;2000;0;0;2000;19
search_algo=k_ary/cache_traversal=linear_fanout/mapping=direct_placement/path_compression=path_compression_none/node_type=node4/memory_layout=memory_layout_cache_line_aligned/allocator=std_malloc/prefetch=prefetch_none/concurrency=concurrency_none/serialization=serialization_raw_binary/telemetry=telemetry_leaf_only_counter/value_handle=value_handle_inline/isa=isa_amd64/index_organization=index_org_heap/io_dispatch=io_in_memory_only/migration_policy=migration_none/filter=filter_bloom/queuing_q1=no_buffer/queuing_q2=eager_flush;concurrency.thread_count=1/prefetch.prefetch_distance=8/repetition.repetition_index=2;2;2000;203556700;50889.175;900;400;400;500;159800;39200;400;600;500;39200;600;39300;77200;45200;39300;5300;384900;300;400;2000;2000;0;2000;0;2000;128000;128000;500;0;0;10;2000;2;2000;2000;0;2000;0;2000;2000;2000;0;2000;0;2000;2000;2000;2000;0;0;2000;4000;28000;28000;4000;7;1;4;2000;11888;500;2000;8000;2000;7990;128000;128000;500;0;0;0;0;0;0;0;4000;4000;0;0;0;500;2000;128000;7990;4000;4000;0;4000;2000;0;0;1;500;32000;8000;0;63924;500;2000;2000;0;7990;500;128000;0;2000;7990;2000;0;0;0;0;1;171;1829;2000;813;2000;0;0;2000;0;2000;2000;0;0;2000;19
search_algo=k_ary/cache_traversal=linear_fanout/mapping=direct_placement/path_compression=path_compression_none/node_type=node4/memory_layout=memory_layout_cache_line_aligned/allocator=std_malloc/prefetch=prefetch_none/concurrency=concurrency_none/serialization=serialization_raw_binary/telemetry=telemetry_leaf_only_counter/value_handle=value_handle_inline/isa=isa_amd64/index_organization=index_org_heap/io_dispatch=io_in_memory_only/migration_policy=migration_none/filter=filter_bloom/queuing_q1=no_buffer/queuing_q2=eager_flush;concurrency.thread_count=2/prefetch.prefetch_distance=0/repetition.repetition_index=0;0;2000;120634700;30158.675;700;400;400;500;151400;36300;400;200;200;36500;500;36900;73500;41900;38400;6900;387100;300;300;2000;2000;0;2000;0;2000;128000;128000;500;0;0;10;2000;1;2000;2000;0;2000;0;2000;2000;2000;0;2000;0;2000;2000;2000;2000;0;0;2000;4000;28000;28000;4000;7;1;4;2000;11888;500;2000;8000;2000;7990;128000;128000;500;0;0;0;0;0;0;0;4000;4000;0;0;0;500;2000;128000;7990;4000;4000;0;4000;2000;0;0;1;500;32000;8000;0;63924;500;2000;2000;0;7990;500;128000;0;2000;7990;2000;0;0;0;0;1;171;1829;2000;813;2000;0;0;2000;0;2000;2000;0;0;2000;19
search_algo=k_ary/cache_traversal=linear_fanout/mapping=direct_placement/path_compression=path_compression_none/node_type=node4/memory_layout=memory_layout_cache_line_aligned/allocator=std_malloc/prefetch=prefetch_none/concurrency=concurrency_none/serialization=serialization_raw_binary/telemetry=telemetry_leaf_only_counter/value_handle=value_handle_inline/isa=isa_amd64/index_organization=index_org_heap/io_dispatch=io_in_memory_only/migration_policy=migration_none/filter=filter_bloom/queuing_q1=no_buffer/queuing_q2=eager_flush;concurrency.thread_count=2/prefetch.prefetch_distance=0/repetition.repetition_index=1;1;2000;88250500;22062.625;800;300;2300;300;144900;45600;300;400;300;35900;400;36100;70200;39900;36000;4800;362200;300;300;2000;2000;0;2000;0;2000;128000;128000;500;0;0;10;2000;1;2000;2000;0;2000;0;2000;2000;2000;0;2000;0;2000;2000;2000;2000;0;0;2000;4000;28000;28000;4000;7;1;4;2000;11888;500;2000;8000;2000;7990;128000;128000;500;0;0;0;0;0;0;0;4000;4000;0;0;0;500;2000;128000;7990;4000;4000;0;4000;2000;0;0;1;500;32000;8000;0;63924;500;2000;2000;0;7990;500;128000;0;2000;7990;2000;0;0;0;0;1;171;1829;2000;813;2000;0;0;2000;0;2000;2000;0;0;2000;19
search_algo=k_ary/cache_traversal=linear_fanout/mapping=direct_placement/path_compression=path_compression_none/node_type=node4/memory_layout=memory_layout_cache_line_aligned/allocator=std_malloc/prefetch=prefetch_none/concurrency=concurrency_none/serialization=serialization_raw_binary/telemetry=telemetry_leaf_only_counter/value_handle=value_handle_inline/isa=isa_amd64/index_organization=index_org_heap/io_dispatch=io_in_memory_only/migration_policy=migration_none/filter=filter_bloom/queuing_q1=no_buffer/queuing_q2=eager_flush;concurrency.thread_count=2/prefetch.prefetch_distance=0/repetition.repetition_index=2;2;2000;88213200;22053.300;900;600;400;300;149600;38300;400;400;300;38000;400;38500;81100;42200;37900;4900;357000;300;100;2000;2000;0;2000;0;2000;128000;128000;500;0;0;10;2000;1;2000;2000;0;2000;0;2000;2000;2000;0;2000;0;2000;2000;2000;2000;0;0;2000;4000;28000;28000;4000;7;1;4;2000;11888;500;2000;8000;2000;7990;128000;128000;500;0;0;0;0;0;0;0;4000;4000;0;0;0;500;2000;128000;7990;4000;4000;0;4000;2000;0;0;1;500;32000;8000;0;63924;500;2000;2000;0;7990;500;128000;0;2000;7990;2000;0;0;0;0;1;171;1829;2000;813;2000;0;0;2000;0;2000;2000;0;0;2000;19
search_algo=k_ary/cache_traversal=linear_fanout/mapping=direct_placement/path_compression=path_compression_none/node_type=node4/memory_layout=memory_layout_cache_line_aligned/allocator=std_malloc/prefetch=prefetch_none/concurrency=concurrency_none/serialization=serialization_raw_binary/telemetry=telemetry_leaf_only_counter/value_handle=value_handle_inline/isa=isa_amd64/index_organization=index_org_heap/io_dispatch=io_in_memory_only/migration_policy=migration_none/filter=filter_bloom/queuing_q1=no_buffer/queuing_q2=eager_flush;concurrency.thread_count=2/prefetch.prefetch_distance=8/repetition.repetition_index=0;0;2000;91206100;22801.525;900;500;700;700;143500;35300;300;500;300;35300;100;35600;70300;39500;35400;4600;358600;300;700;2000;2000;0;2000;0;2000;128000;128000;500;0;0;10;2000;2;2000;2000;0;2000;0;2000;2000;2000;0;2000;0;2000;2000;2000;2000;0;0;2000;4000;28000;28000;4000;7;1;4;2000;11888;500;2000;8000;2000;7990;128000;128000;500;0;0;0;0;0;0;0;4000;4000;0;0;0;500;2000;128000;7990;4000;4000;0;4000;2000;0;0;1;500;32000;8000;0;63924;500;2000;2000;0;7990;500;128000;0;2000;7990;2000;0;0;0;0;1;171;1829;2000;813;2000;0;0;2000;0;2000;2000;0;0;2000;19
